(New) Chromatin State	(Old) Chromatin State
Weak_transcription	Quiescent_Low
Heterochromatin	Heterochromatin
Strong_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Repressed_PolyComb	Repressed_PolyComb
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Genic_enhancers	Transcr_at_gene_5_and_3
Enhancers	Bivalent_Poised_TSS
Active_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Enhancers
Flanking_Active_TSS	Weak_transcription
Bivalent_Poised_TSS	Active_TSS
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Flanking_Active_TSS
Quiescent_Low	Strong_transcription
