(New) Chromatin State	(Old) Chromatin State
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Active_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Bivalent_Enhancer	Active_TSS
Genic_enhancers	Flanking_Active_TSS
Repressed_PolyComb	Transcr_at_gene_5_and_3
Flanking_Active_TSS	Weak_Repressed_PolyComb
Enhancers	Enhancers
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Strong_transcription	Genic_enhancers
Heterochromatin	Heterochromatin
Weak_transcription	Weak_transcription
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
