(New) Chromatin State	(Old) Chromatin State
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Enhancer	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Genic_enhancers	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Enhancers
Enhancers	Active_TSS
Repressed_PolyComb	Transcr_at_gene_5_and_3
Active_TSS	Genic_enhancers
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_transcription
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
