(New) Chromatin State	(Old) Chromatin State
Bivalent_Enhancer	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Flanking_Bivalent_TSS_Enh	Active_TSS
Flanking_Active_TSS	Genic_enhancers
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Genic_enhancers	Bivalent_Enhancer
ZNF_genes_and_repeats	Enhancers
Enhancers	Bivalent_Poised_TSS
Active_TSS	Repressed_PolyComb
Repressed_PolyComb	Strong_transcription
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_transcription
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
