(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Quiescent_Low
Weak_transcription	Weak_transcription
Strong_transcription	Enhancers
Heterochromatin	Strong_transcription
ZNF_genes_and_repeats	Weak_Repressed_PolyComb
Repressed_PolyComb	Flanking_Active_TSS
Enhancers	Repressed_PolyComb
Genic_enhancers	Bivalent_Enhancer
Transcr_at_gene_5_and_3	ZNF_genes_and_repeats
Active_TSS	Genic_enhancers
Flanking_Active_TSS	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Active_TSS
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
