(New) Chromatin State	(Old) Chromatin State
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Bivalent_Enhancer	Bivalent_Enhancer
Flanking_Active_TSS	Repressed_PolyComb
Transcr_at_gene_5_and_3	Active_TSS
Active_TSS	Flanking_Active_TSS
Genic_enhancers	Transcr_at_gene_5_and_3
Enhancers	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Weak_Repressed_PolyComb
Repressed_PolyComb	Enhancers
Heterochromatin	Genic_enhancers
Strong_transcription	Heterochromatin
Weak_transcription	Strong_transcription
Weak_Repressed_PolyComb	Weak_transcription
Quiescent_Low	Quiescent_Low
