(New) Chromatin State	(Old) Chromatin State
Enhancers	Enhancers
Genic_enhancers	Flanking_Active_TSS
ZNF_genes_and_repeats	Weak_transcription
Transcr_at_gene_5_and_3	Quiescent_Low
Repressed_PolyComb	Genic_enhancers
Flanking_Active_TSS	Weak_Repressed_PolyComb
Heterochromatin	Bivalent_Enhancer
Active_TSS	Active_TSS
Strong_transcription	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Repressed_PolyComb
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
