(New) Chromatin State	(Old) Chromatin State
Strong_transcription	Weak_transcription
Repressed_PolyComb	Strong_transcription
Heterochromatin	Genic_enhancers
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Quiescent_Low
Active_TSS	Enhancers
Genic_enhancers	Bivalent_Poised_TSS
Enhancers	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Flanking_Active_TSS
Bivalent_Poised_TSS	Heterochromatin
Bivalent_Enhancer	Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Quiescent_Low	Active_TSS
