(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Strong_transcription	Bivalent_Enhancer
Heterochromatin	Enhancers
Repressed_PolyComb	Quiescent_Low
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Genic_enhancers	Heterochromatin
Active_TSS	Flanking_Bivalent_TSS_Enh
Enhancers	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Quiescent_Low	Active_TSS
Flanking_Active_TSS	ZNF_genes_and_repeats
Bivalent_Poised_TSS	Weak_transcription
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Strong_transcription
