(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Enhancers	Active_TSS
Flanking_Active_TSS	Genic_enhancers
ZNF_genes_and_repeats	Flanking_Active_TSS
Genic_enhancers	Enhancers
Bivalent_Enhancer	Strong_transcription
Active_TSS	Weak_transcription
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Repressed_PolyComb	Bivalent_Enhancer
Heterochromatin	Repressed_PolyComb
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
