(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Quiescent_Low
Strong_transcription	Heterochromatin
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_transcription	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Genic_enhancers	Transcr_at_gene_5_and_3
Enhancers	Repressed_PolyComb
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Active_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Genic_enhancers
Bivalent_Poised_TSS	Strong_transcription
Bivalent_Enhancer	Enhancers
Flanking_Bivalent_TSS_Enh	Active_TSS
Quiescent_Low	Flanking_Active_TSS
