(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Active_TSS
Bivalent_Enhancer	Flanking_Active_TSS
Flanking_Active_TSS	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Active_TSS	Transcr_at_gene_5_and_3
Genic_enhancers	Repressed_PolyComb
Enhancers	Enhancers
ZNF_genes_and_repeats	Genic_enhancers
Repressed_PolyComb	Weak_Repressed_PolyComb
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_transcription
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
