(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Quiescent_Low
Strong_transcription	Heterochromatin
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Transcr_at_gene_5_and_3
Enhancers	Bivalent_Poised_TSS
Genic_enhancers	Repressed_PolyComb
Active_TSS	Flanking_Bivalent_TSS_Enh
Weak_Repressed_PolyComb	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Genic_enhancers
Bivalent_Poised_TSS	Enhancers
Bivalent_Enhancer	Strong_transcription
Flanking_Bivalent_TSS_Enh	Flanking_Active_TSS
Quiescent_Low	Active_TSS
