(New) Chromatin State	(Old) Chromatin State
Active_TSS	Active_TSS
Bivalent_Poised_TSS	Flanking_Active_TSS
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Transcr_at_gene_5_and_3	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Transcr_at_gene_5_and_3
Genic_enhancers	Bivalent_Enhancer
Flanking_Active_TSS	Enhancers
Enhancers	Repressed_PolyComb
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Repressed_PolyComb	Weak_Repressed_PolyComb
Heterochromatin	Genic_enhancers
Strong_transcription	Weak_transcription
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Quiescent_Low
Quiescent_Low	Strong_transcription
