(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Genic_enhancers	Genic_enhancers
Enhancers	Flanking_Active_TSS
Active_TSS	Active_TSS
Flanking_Active_TSS	Enhancers
ZNF_genes_and_repeats	Strong_transcription
Bivalent_Enhancer	Weak_transcription
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Bivalent_Enhancer
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Heterochromatin	Repressed_PolyComb
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
