(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Quiescent_Low	Repressed_PolyComb
Weak_transcription	Bivalent_Enhancer
Strong_transcription	Bivalent_Poised_TSS
Heterochromatin	Flanking_Bivalent_TSS_Enh
Repressed_PolyComb	Enhancers
ZNF_genes_and_repeats	Quiescent_Low
Genic_enhancers	Heterochromatin
Enhancers	Active_TSS
Active_TSS	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Flanking_Active_TSS	Weak_transcription
Bivalent_Poised_TSS	ZNF_genes_and_repeats
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Strong_transcription
