(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Bivalent_Poised_TSS
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Poised_TSS	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Repressed_PolyComb
Genic_enhancers	Active_TSS
Enhancers	Enhancers
ZNF_genes_and_repeats	Transcr_at_gene_5_and_3
Active_TSS	Weak_Repressed_PolyComb
Repressed_PolyComb	Genic_enhancers
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_transcription
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
