(New) Chromatin State	(Old) Chromatin State
Enhancers	Enhancers
Genic_enhancers	Flanking_Active_TSS
ZNF_genes_and_repeats	Weak_transcription
Repressed_PolyComb	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Active_TSS
Heterochromatin	Genic_enhancers
Active_TSS	Transcr_at_gene_5_and_3
Strong_transcription	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Repressed_PolyComb
Weak_transcription	Weak_Repressed_PolyComb
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Bivalent_Enhancer	Quiescent_Low
Flanking_Bivalent_TSS_Enh	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
