(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Enhancers	Flanking_Active_TSS
Genic_enhancers	Genic_enhancers
Flanking_Active_TSS	Active_TSS
Active_TSS	Enhancers
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Strong_transcription
Bivalent_Poised_TSS	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Weak_transcription
Heterochromatin	Repressed_PolyComb
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
