(New) Chromatin State	(Old) Chromatin State
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Enhancers	Weak_transcription
Transcr_at_gene_5_and_3	Heterochromatin
Genic_enhancers	Strong_transcription
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Repressed_PolyComb	Bivalent_Poised_TSS
Active_TSS	Transcr_at_gene_5_and_3
Heterochromatin	Repressed_PolyComb
Bivalent_Enhancer	Genic_enhancers
Bivalent_Poised_TSS	Bivalent_Enhancer
Strong_transcription	Active_TSS
Flanking_Bivalent_TSS_Enh	Flanking_Active_TSS
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Enhancers
Quiescent_Low	Quiescent_Low
