(New) Chromatin State	(Old) Chromatin State
Strong_transcription	Weak_transcription
Weak_transcription	Strong_transcription
Heterochromatin	Genic_enhancers
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Quiescent_Low
Genic_enhancers	Enhancers
Active_TSS	Bivalent_Poised_TSS
Enhancers	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Flanking_Active_TSS
Bivalent_Poised_TSS	Repressed_PolyComb
Bivalent_Enhancer	Heterochromatin
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Quiescent_Low	Active_TSS
