(New) Chromatin State	(Old) Chromatin State
Strong_transcription	Weak_transcription
Weak_transcription	Strong_transcription
Heterochromatin	Genic_enhancers
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Enhancers
Genic_enhancers	Quiescent_Low
Enhancers	Bivalent_Poised_TSS
Active_TSS	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Flanking_Active_TSS	Flanking_Active_TSS
Bivalent_Poised_TSS	Repressed_PolyComb
Bivalent_Enhancer	Heterochromatin
Flanking_Bivalent_TSS_Enh	Active_TSS
Quiescent_Low	Weak_Repressed_PolyComb
