(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Bivalent_Poised_TSS
Bivalent_Enhancer	Bivalent_Enhancer
Bivalent_Poised_TSS	Active_TSS
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Genic_enhancers	Repressed_PolyComb
Enhancers	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Enhancers
Active_TSS	Weak_Repressed_PolyComb
Repressed_PolyComb	Transcr_at_gene_5_and_3
Heterochromatin	Heterochromatin
Strong_transcription	Genic_enhancers
Weak_transcription	Weak_transcription
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
