(New) Chromatin State	(Old) Chromatin State
Bivalent_Enhancer	Bivalent_Enhancer
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Flanking_Active_TSS	Repressed_PolyComb
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Genic_enhancers	Active_TSS
Active_TSS	Transcr_at_gene_5_and_3
Enhancers	Enhancers
ZNF_genes_and_repeats	Weak_Repressed_PolyComb
Repressed_PolyComb	ZNF_genes_and_repeats
Heterochromatin	Genic_enhancers
Strong_transcription	Heterochromatin
Weak_transcription	Weak_transcription
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
