(New) Chromatin State	(Old) Chromatin State
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Enhancers	Heterochromatin
Genic_enhancers	Weak_transcription
Heterochromatin	Strong_transcription
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Strong_transcription	Genic_enhancers
Active_TSS	Bivalent_Poised_TSS
Flanking_Active_TSS	Bivalent_Enhancer
Weak_transcription	Active_TSS
Bivalent_Enhancer	Repressed_PolyComb
Bivalent_Poised_TSS	Flanking_Active_TSS
Flanking_Bivalent_TSS_Enh	Enhancers
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Quiescent_Low	Quiescent_Low
