(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Strong_transcription	Bivalent_Enhancer
Heterochromatin	Enhancers
Repressed_PolyComb	Bivalent_Poised_TSS
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Active_TSS	Flanking_Active_TSS
Genic_enhancers	Active_TSS
Enhancers	Quiescent_Low
Quiescent_Low	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Heterochromatin
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Strong_transcription
