(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Quiescent_Low
Strong_transcription	Strong_transcription
Heterochromatin	Weak_transcription
ZNF_genes_and_repeats	Enhancers
Repressed_PolyComb	Flanking_Active_TSS
Enhancers	Repressed_PolyComb
Genic_enhancers	ZNF_genes_and_repeats
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Active_TSS	Active_TSS
Flanking_Active_TSS	Bivalent_Poised_TSS
Bivalent_Enhancer	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Transcr_at_gene_5_and_3
Flanking_Bivalent_TSS_Enh	Genic_enhancers
