(New) Chromatin State	(Old) Chromatin State
Enhancers	Enhancers
Genic_enhancers	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Weak_transcription
ZNF_genes_and_repeats	Genic_enhancers
Flanking_Active_TSS	Transcr_at_gene_5_and_3
Repressed_PolyComb	Bivalent_Enhancer
Active_TSS	Active_TSS
Heterochromatin	Repressed_PolyComb
Bivalent_Enhancer	Weak_Repressed_PolyComb
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Strong_transcription	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Strong_transcription
Weak_transcription	Quiescent_Low
Weak_Repressed_PolyComb	ZNF_genes_and_repeats
Quiescent_Low	Heterochromatin
