(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Genic_enhancers	Flanking_Active_TSS
Active_TSS	Genic_enhancers
ZNF_genes_and_repeats	Active_TSS
Flanking_Active_TSS	Enhancers
Bivalent_Enhancer	Strong_transcription
Enhancers	Weak_transcription
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Enhancer
Heterochromatin	Repressed_PolyComb
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
