(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Bivalent_Enhancer	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Bivalent_Enhancer
Flanking_Active_TSS	Repressed_PolyComb
Transcr_at_gene_5_and_3	Active_TSS
Genic_enhancers	Flanking_Active_TSS
Enhancers	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Enhancers
Active_TSS	Transcr_at_gene_5_and_3
Repressed_PolyComb	ZNF_genes_and_repeats
Heterochromatin	Genic_enhancers
Strong_transcription	Heterochromatin
Weak_transcription	Weak_transcription
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
