(New) Chromatin State	(Old) Chromatin State
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Enhancers	Heterochromatin
Genic_enhancers	Strong_transcription
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Repressed_PolyComb	Repressed_PolyComb
Heterochromatin	Bivalent_Poised_TSS
Active_TSS	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Bivalent_Enhancer
Strong_transcription	Genic_enhancers
Bivalent_Poised_TSS	Active_TSS
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Weak_transcription	Flanking_Active_TSS
Weak_Repressed_PolyComb	Enhancers
Quiescent_Low	Quiescent_Low
