(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Repressed_PolyComb
Weak_transcription	Weak_Repressed_PolyComb
Strong_transcription	Bivalent_Enhancer
Heterochromatin	Bivalent_Poised_TSS
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Flanking_Active_TSS
Active_TSS	Active_TSS
Genic_enhancers	Enhancers
Enhancers	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Heterochromatin
Flanking_Active_TSS	ZNF_genes_and_repeats
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
Quiescent_Low	Quiescent_Low
