(New) Chromatin State	(Old) Chromatin State
Heterochromatin	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Heterochromatin
Repressed_PolyComb	Weak_transcription
Strong_transcription	Strong_transcription
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Enhancers	Transcr_at_gene_5_and_3
Weak_transcription	Repressed_PolyComb
Transcr_at_gene_5_and_3	Genic_enhancers
Active_TSS	Bivalent_Poised_TSS
Flanking_Active_TSS	Active_TSS
Weak_Repressed_PolyComb	Bivalent_Enhancer
Bivalent_Poised_TSS	Flanking_Active_TSS
Bivalent_Enhancer	Weak_Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Enhancers
Quiescent_Low	Quiescent_Low
