(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Heterochromatin
Strong_transcription	Quiescent_Low
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Repressed_PolyComb
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Enhancers	Bivalent_Poised_TSS
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
Active_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Genic_enhancers
Bivalent_Poised_TSS	Enhancers
Bivalent_Enhancer	Active_TSS
Flanking_Bivalent_TSS_Enh	Strong_transcription
Quiescent_Low	Flanking_Active_TSS
