(New) Chromatin State	(Old) Chromatin State
Flanking_Active_TSS	Active_TSS
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Enhancers	Transcr_at_gene_5_and_3
Genic_enhancers	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Active_TSS	Enhancers
Bivalent_Enhancer	Bivalent_Enhancer
Repressed_PolyComb	Genic_enhancers
Bivalent_Poised_TSS	Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Weak_transcription
Heterochromatin	Weak_Repressed_PolyComb
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Quiescent_Low
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
